strain	S1_down	S1_up	S2_down	S2_up	S3_down	S3_up
YJR056C::chr00_13	299	280	245	219	1059	927
YJR057W::chr00_13	3	5	2	5	0	4
YJR058C::chr00_13	334	218	477	395	961	624
YJR059W::chr00_13	2	15	442	618	11	281
YJR060W::chr00_13	0	0	220	174	1	2
YJR060W::chr00_22	0	0	0	0	0	0
YJR061W::chr00_13	522	306	380	270	1685	904
YJR062C::chr00_13	495	372	349	314	367	267
YJR063W::chr00_13	347	329	405	469	563	656
YJR064W::chr00_13	17	3	13	5	10	16
YJR065C::chr00_13	3	2	1	4	11	0
YJR066W::chr00_13	415	275	284	211	832	545
YJR067C::chr00_12	0	2	0	2	0	0
YJR068W::chr00_12	0	4	9	1	0	6
YJR069C::chr00_12	303	197	191	148	290	133
YJR070C::chr00_12	317	256	137	192	296	163
YJR072C::chr10_4	0	3	2	5	1	0
YJR073C::chr10_4	193	160	127	169	333	322
YJR074W::chr00_12	163	1	946	496	122	1
YJR075W::chr10_4	233	152	212	194	377	327
YJR076C::chr10_4	0	2	1	1	3	6
YJR077C::chr00_12	162	288	875	1086	226	384
YJR078W::chr10_4	323	237	244	196	473	369
YJR079W::chr10_4	226	1	166	102	332	0
YJR080C::chr00_12	338	262	166	113	621	382
YJR082C::chr10_4	434	261	148	192	449	354
YJR083C::chr10_4	297	286	147	161	483	432
YJR084W::chr00_12	358	212	228	115	518	337
YJR085C::chr00_22	0	0	0	0	0	0
YJR086W::chr00_22	0	0	0	0	0	0
YJR087W::chr00_12	283	194	106	178	595	503
YJR088C::chr10_4	217	139	149	41	316	188
YJR089W::chr00_22	0	0	0	0	0	0
YJR090C::chr00_12	2	151	401	846	0	0
YJR091C::chr00_12	277	197	186	191	371	338
YJR092W::chr10_4	258	156	195	198	545	528
YJR093C::chr00_12	0	5	1	2	0	0
YJR094C::chr00_12	326	213	182	169	451	390
YJR094W-A::chr00_12	314	242	1125	1099	471	358
YJR095W::chr00_12	277	0	227	115	534	0
YJR096W::chr00_12	336	269	186	232	785	698
YJR097W::chr00_12	284	223	306	307	547	417
YJR098C::chr00_12	349	216	195	155	757	444
YJR099W::chr00_12	391	328	219	225	977	1060
YJR100C::chr00_12	607	274	330	174	605	289
YJR101W::chr00_22	0	0	0	0	0	0
YJR102C::chr10_4	255	208	266	128	411	257
YJR103W::chr10_4	414	259	170	109	416	253
YJR104C::chr00_12	3	1	1183	1092	3	1
YJR105W::chr10_4	70	24	884	792	414	292
YJR106W::chr00_12	187	127	150	240	496	279
YJR107W::chr00_12	15	234	136	281	64	1078
YJR108W::chr10_4	2	240	169	243	0	359
YJR109C::chr00_12	5	0	294	261	762	661
YJR110W::chr10_4	226	0	156	105	461	0
YJR111C::chr10_4	304	83	251	89	504	152
YJR112W-A::chr00_22	0	0	0	0	0	0
YJR112W::chr00_12	2	8	1	6	1	3
YJR113C::chr00_12	4	3	758	686	280	240
YJR114W::chr00_22	0	0	0	0	0	0
YJR115W::chr10_4	362	254	237	261	559	398
YJR116W::chr00_12	544	341	284	186	457	334
YJR117W::chr00_12	0	0	177	261	0	362
YJR118C::chr00_12	728	552	1491	1270	582	341
YJR119C::chr00_12	548	440	399	319	448	368
YJR120W::chr00_12	305	182	186	216	494	432
YJR121W::chr00_12	2	0	952	867	0	2
YJR122W::chr00_12	1	0	751	541	330	270
YJR123W::chr00_12	0	0	3	0	0	1
YJR124C::chr00_12	324	254	245	214	457	391
YJR125C::chr00_12	290	0	267	112	682	0
YJR126C::chr00_12	1	0	297	272	857	576
YJR127C::chr10_4	402	282	276	248	528	475
YJR128W::chr10_4	291	70	217	187	330	102
YJR129C::chr10_4	253	247	182	179	348	374
YJR130C::chr10_4	278	30	182	136	448	57
YJR131W::chr00_12	310	173	209	261	549	307
YJR133W::chr00_12	527	382	317	299	784	561
YJR134C::chr00_12	201	118	308	180	932	532
YJR135C::chr10_4	0	3	1	92	0	10
YJR135W-A::chr00_20	335	340	1	3	986	805
YJR137C::chr10_4	59	41	287	158	712	416
YJR139C::chr00_12	5	0	359	186	879	423
YJR140C::chr00_12	347	180	302	280	334	200
YJR141W::chr00_12	1	2	7	1	2	1
YJR142W::chr00_12	345	208	598	413	533	312
YJR143C::chr00_22	0	0	0	0	0	0
YJR144W::chr00_12	1	4	1017	899	447	451
YJR145C::chr00_12	1	257	663	574	1	196
YJR146W::chr10_4	312	254	232	209	312	247
YJR147W::chr10_4	683	445	235	254	517	348
YJR148W::chr00_12	451	329	439	421	780	703
YJR149W::chr10_4	326	0	411	114	620	0
YJR150C::chr00_12	494	382	451	432	480	368
YJR151C::chr00_22	0	0	0	0	0	0
YJR151W-A::chr00_20	395	322	1	0	427	356
YJR152W::chr10_4	262	237	192	192	488	437
YJR153W::chr00_12	503	241	489	398	943	555
YJR154W::chr10_4	308	0	190	89	491	2
YKL001C::chr11_1	0	37	0	221	0	356
YKL002W::chr00_22	0	0	3	0	521	498
YKL002W::chr11_1	0	0	0	352	0	346
YKL003C::chr11_1	0	0	0	3	0	262
YKL004W::chr11_1	0	0	1	3	3	0
YKL005C::chr00_12	409	195	464	398	605	444
YKL006C-A::chr11_1	0	2	1	4	0	3
YKL006W::chr11_1	3	233	318	633	0	250
YKL007W::chr11_1	10	357	476	1097	2	368
YKL008C::chr11_1	86	272	163	222	51	263
YKL009W::chr11_1	446	0	413	298	160	0
YKL010C::chr11_1	336	341	134	217	304	373
YKL011C::chr11_1	0	343	127	260	0	336
YKL012W::chr11_1	2	4	0	3	4	0
YKL013C::chr11_1	6	4	13	5	2	0
YKL014C::chr11_1	2	0	4	0	0	1
YKL015W::chr11_1	341	410	249	237	238	362
YKL016C::chr11_1	3	0	186	96	155	32
YKL017C::chr11_1	414	384	400	421	317	204
YKL018C-A::chr00_20	380	295	0	0	433	360
YKL018W::chr11_1	1	0	4	0	0	0
YKL019W::chr11_1	0	3	1	6	2	1
YKL020C::chr11_1	474	250	310	198	391	248
YKL021C::chr11_1	0	2	1	0	0	1
YKL022C::chr11_1	5	6	10	7	7	6
YKL023W::chr11_1	477	365	208	176	243	219
YKL024C::chr11_1	7	8	6	2	1	8
YKL025C::chr11_1	530	336	244	180	346	274
YKL026C::chr11_1	0	0	114	62	0	0
YKL027W::chr11_1	335	281	232	217	445	395
YKL028W::chr11_1	1	0	1	0	1	0
YKL029C::chr11_1	345	266	253	164	311	267
YKL030W::chr00_12	348	243	367	358	662	485
YKL031W::chr11_1	402	207	227	171	613	355
YKL032C::chr11_1	303	221	1077	804	368	304
YKL033W-A::chr00_22	0	0	0	0	0	0
YKL033W-A::chr00_3	1	0	322	273	329	235
YKL033W::chr11_1	11	0	8	3	3	1
YKL034W::chr11_1	319	0	111	127	282	0
YKL035W::chr11_1	0	3	0	4	0	4
YKL036C::chr11_1	8	4	1	1	0	4
YKL037W::chr11_1	346	234	274	237	309	199
YKL038W::chr11_1	435	234	225	154	524	437
YKL039W::chr11_1	533	329	357	405	279	167
YKL040C::chr11_1	260	169	258	342	304	237
YKL041W::chr11_1	2	0	263	128	207	146
YKL042W::chr11_1	0	0	0	3	1	7
YKL043W::chr11_1	757	445	314	253	405	292
YKL044W::chr11_1	7	63	133	130	5	80
YKL045W::chr11_1	3	4	3	4	2	7
YKL046C::chr11_1	391	254	249	277	544	448
YKL047W::chr11_1	421	312	253	311	539	527
YKL048C::chr11_1	211	176	195	200	266	210
YKL049C::chr00_22	0	0	0	0	0	0
YKL049C::chr11_1	3	13	0	5	0	3
YKL050C::chr11_1	446	336	175	328	624	564
YKL051W::chr11_1	382	366	406	403	473	438
YKL052C::chr11_1	5	6	0	5	10	1
YKL053C-A::chr00_17b	455	228	971	972	278	163
YKL053W::chr11_1	1216	891	2882	2658	1848	1565
YKL054C::chr11_1	301	172	19	30	451	300
YKL055C::chr11_1	6	0	958	712	9	1
YKL056C::chr11_1	209	85	761	545	741	317
YKL057C::chr11_1	436	304	575	574	318	256
YKL058W::chr11_1	0	4	1	2	0	0
YKL059C::chr11_1	2	9	0	1	2	2
YKL060C::chr11_1	1	0	6	0	3	0
YKL061W::chr11_1	470	279	546	481	604	541
YKL062W::chr11_1	518	369	669	564	737	656
YKL063C::chr11_1	344	262	220	185	639	419
YKL064W::chr11_1	421	243	282	205	532	412
YKL065C::chr00_23	512	313	0	4	487	292
YKL065C::chr11_1	1	0	158	230	71	307
YKL066W::chr11_1	0	303	0	222	0	305
YKL067W::chr11_1	386	240	237	183	529	329
YKL068W-A::chr00_20	402	0	4	0	1130	0
YKL068W::chr11_1	27	154	167	144	26	238
YKL069W::chr11_1	445	227	225	169	514	237
YKL070W::chr11_1	474	319	337	334	494	443
YKL071W::chr11_1	377	319	334	279	369	352
YKL072W::chr11_1	731	452	287	198	488	485
YKL073W::chr11_1	432	0	1287	736	412	1
YKL074C::chr11_1	474	312	1592	1317	586	410
YKL075C::chr11_1	416	278	214	210	530	447
YKL076C::chr11_1	281	182	211	70	414	252
YKL077W::chr11_1	12	257	103	199	18	331
YKL078W::chr11_1	1	0	6	8	0	2
YKL079W::chr11_1	1	684	116	210	1	387
YKL080W::chr11_1	0	0	299	235	0	200
YKL081W::chr11_1	126	60	255	211	471	393
YKL082C::chr00_12	3	0	1	0	5	1
YKL083W::chr11_1	0	5	0	7	0	8
YKL084W::chr11_1	451	303	237	99	641	465
YKL085W::chr11_1	0	238	164	325	1	378
YKL086W::chr11_1	529	0	278	124	323	2
YKL087C::chr11_1	192	136	247	172	193	134
YKL088W::chr11_1	2	0	1	1	6	0
YKL089W::chr11_1	3	1	7	0	2	4
YKL090W::chr11_1	487	318	95	146	391	321
YKL091C::chr11_1	9	254	218	137	6	334
YKL092C::chr11_1	7	281	119	91	6	251
YKL093W::chr11_1	348	256	219	72	417	315
YKL094W::chr11_1	387	273	237	222	493	360
YKL095W::chr11_1	0	1	3	0	5	2
YKL096C-B::chr00_20	180	139	0	0	944	804
YKL096W-A::chr00_14	501	229	128	146	545	273
YKL096W::chr11_2	0	380	0	334	0	574
YKL097C::chr11_2	299	293	88	213	409	533
YKL098W::chr11_2	457	187	206	118	439	209
YKL099C::chr11_2	0	0	0	1	0	0
YKL100C::chr11_2	516	431	183	189	558	441
YKL101W::chr11_2	251	112	176	63	355	150
YKL102C::chr11_2	0	291	90	212	0	560
YKL103C::chr11_2	498	276	243	169	448	275
YKL104C::chr11_2	1	1	0	2	2	1
YKL105C::chr11_2	349	257	105	125	278	351
YKL106C-A::chr00_20	427	55	4	0	1118	197
YKL106W::chr11_2	318	306	248	221	436	459
YKL107W::chr11_2	472	100	272	106	386	70
YKL108W::chr11_2	0	1	0	0	0	0
YKL109W::chr11_2	366	44	90	43	247	20
YKL110C::chr11_2	341	238	940	983	340	275
YKL111C::chr11_2	2	2	1	3	2	4
YKL112W::chr11_2	1	1	5	3	2	2
YKL113C::chr11_2	308	209	957	812	222	155
YKL114C::chr11_2	250	191	1314	915	606	403
YKL115C::chr00_14	141	0	129	98	152	0
YKL116C::chr11_2	549	290	103	204	609	495
YKL117W::chr11_2	0	299	103	286	0	564
YKL118W::chr11_2	1	1	288	457	308	300
YKL119C::chr11_2	60	46	516	296	288	196
YKL120W::chr11_2	284	262	248	96	450	358
YKL121W::chr11_2	439	401	192	147	505	559
YKL122C::chr11_2	0	3	0	1	0	0
YKL123W::chr11_2	369	380	218	113	433	388
YKL124W::chr11_2	449	349	226	257	426	405
YKL125W::chr11_2	0	5	1	11	3	12
YKL126W::chr11_2	4	1	1101	1084	1	3
YKL127W::chr11_2	773	268	204	175	673	156
YKL128C::chr11_2	351	0	360	86	418	0
YKL129C::chr11_2	735	280	317	104	504	169
YKL130C::chr11_2	450	314	224	190	401	387
YKL131W::chr11_2	500	233	1535	1235	338	189
YKL132C::chr11_2	416	353	269	253	571	347
YKL133C::chr11_2	256	306	215	196	369	486
YKL134C::chr11_2	1	0	385	451	218	162
YKL135C::chr11_2	0	1	3	238	0	252
YKL136W::chr11_2	432	302	239	243	417	305
YKL137W::chr00_23	581	73	0	0	426	55
YKL137W::chr11_2	1	0	250	93	268	4
YKL138C-A::chr00_20	0	0	1	0	2	0
YKL138C::chr11_2	1	0	515	339	1	0
YKL139W::chr00_14	0	3	30	60	0	4
YKL139W::chr11_2	0	0	0	0	0	0
YKL140W::chr11_2	482	347	364	339	284	268
YKL141W::chr11_2	3	3	1	1	0	1
YKL142W::chr11_2	371	352	303	241	209	251
YKL143W::chr11_2	252	129	120	89	99	102
YKL144C::chr11_2	5	10	3	4	2	3
YKL145W::chr11_2	2	2	2	4	0	2
YKL146W::chr11_2	389	356	198	200	307	297
YKL147C::chr11_2	377	347	139	160	319	288
YKL148C::chr11_2	0	156	0	1	0	145
YKL149C::chr11_2	370	339	1054	866	217	206
YKL150W::chr11_2	0	294	95	89	0	286
YKL151C::chr11_2	335	313	177	195	393	381
YKL152C::chr11_2	3	1	0	2	1	2
YKL153W::chr11_2	6	1	0	0	0	0
YKL154W::chr11_2	1	0	5	0	0	1
YKL155C::chr11_2	5	1	588	499	277	233
YKL156W::chr11_2	340	194	234	142	652	483
YKL157W::chr00_22	485	245	1	0	381	153
YKL157W::chr11_2	2	0	282	244	306	195
YKL158W::chr11_2	385	0	247	138	206	4
YKL159C::chr11_2	479	0	368	116	292	1
YKL160W::chr11_2	714	113	272	148	239	66
YKL161C::chr11_2	452	297	283	194	339	170
YKL162C-A::chr00_3	596	345	357	274	425	347
YKL162C::chr11_2	444	255	246	132	298	319
YKL163W::chr11_2	379	292	260	195	293	217
YKL164C::chr11_2	461	334	265	299	329	260
YKL165C::chr11_2	0	1	3	1	2	0
YKL166C::chr11_2	496	9	333	26	439	1
YKL167C::chr11_2	127	215	229	283	98	204
YKL168C::chr11_2	295	109	351	232	634	123
YKL169C::chr11_2	0	0	922	109	261	97
YKL170W::chr11_2	8	0	1238	862	418	275
YKL171W::chr11_2	568	436	166	251	613	494
YKL172W::chr00_23	0	0	0	0	0	0
YKL172W::chr11_2	0	0	0	0	0	0
YKL173W::chr11_2	0	0	2	2	1	4
YKL174C::chr11_2	89	434	74	289	73	551
YKL175W::chr11_2	413	323	386	296	602	389
YKL176C::chr11_2	346	1	1307	504	809	4
YKL177W::chr11_2	404	256	2	1	472	437
YKL178C::chr11_2	0	321	0	6	0	624
YKL179C::chr11_2	337	277	227	315	486	523
YKL180W::chr11_2	0	1	0	0	3	1
YKL181W::chr11_2	0	0	204	298	0	0
YKL182W::chr11_2	4	1	3	0	0	2
YKL183C-A::chr00_20	0	0	0	0	0	0
YKL183W::chr11_2	459	340	292	316	681	577
YKL184W::chr11_2	202	146	330	315	507	393
YKL185W::chr11_2	482	323	375	289	618	458
YKL186C::chr11_2	2	0	2	3	1	0
YKL187C::chr11_2	441	478	128	377	439	541
YKL188C::chr11_2	0	489	189	248	0	478
YKL189W::chr11_2	1	2	5	1	0	5
YKL190W::chr11_2	407	332	334	335	581	614
YKL191W::chr11_3	0	397	0	233	0	333
YKL192C::chr11_3	0	1	0	5	0	8
YKL193C::chr11_3	0	3	0	0	4	0
YKL194C::chr00_14	4	0	0	1	448	384
YKL195W::chr00_14	0	2	2	2	0	0
YKL196C::chr11_3	4	0	2	6	0	2
YKL197C::chr11_3	0	228	89	105	0	217
YKL198C::chr00_22	579	332	1	0	646	423
YKL198C::chr11_3	2	2	99	155	332	331
YKL199C::chr11_3	602	383	190	134	423	291
YKL200C::chr11_3	0	5	0	68	0	8
YKL201C::chr00_14	2	0	243	120	500	270
YKL201C::chr00_22	504	323	4	0	532	463
YKL202W::chr00_14	366	257	172	213	447	364
YKL203C::chr11_3	0	2	0	0	2	0
YKL204W::chr00_14	94	48	2	0	418	294
YKL205W::chr11_3	410	336	106	206	386	258
YKL206C::chr11_3	309	223	224	120	305	194
YKL207W::chr11_3	464	265	233	183	586	380
YKL208W::chr11_3	306	165	244	158	510	268
YKL209C::chr00_14	0	1	1	5	1	2
YKL209C::chr11_3	3	0	0	0	2	0
YKL210W::chr11_3	0	0	0	6	0	9
YKL211C::chr11_3	0	1	182	190	506	258
YKL212W::chr11_3	33	33	907	722	466	299
YKL213C::chr11_3	212	146	332	218	294	219
YKL214C::chr11_3	495	315	251	169	504	312
YKL215C::chr00_14	432	228	150	274	589	397
YKL216W::chr11_3	1	0	157	119	659	332
YKL217W::chr11_3	412	308	152	185	578	454
YKL218C::chr11_3	481	0	162	0	364	0
YKL220C::chr00_14	1	260	115	179	1	248
YKL221W::chr11_3	4	329	112	87	0	212
YKL222C::chr11_3	599	461	177	187	315	295
YKR001C::chr11_3	404	0	774	322	281	0
YKR002W::chr11_3	4	2	4	2	0	3
YKR003W::chr11_3	746	427	234	173	448	303
YKR004C-A::chr00_21	322	249	1	0	432	480
YKR004C::chr00_14	6	3	15	0	8	0
YKR004C::chr00_22	0	0	0	0	0	0
YKR005C::chr11_3	608	97	271	102	529	51
YKR006C::chr11_3	4	1	1585	1310	505	305
YKR007W::chr11_3	659	422	1052	970	650	562
YKR008W::chr11_3	1	1	0	0	1	0
YKR009C::chr11_3	600	391	351	295	351	255
YKR010C::chr00_14	0	27	111	78	2	11
YKR011C::chr11_3	563	435	222	200	485	365
YKR012C::chr11_3	508	366	160	186	327	262
YKR013W::chr11_3	0	394	96	158	1	204
YKR014C::chr11_3	702	473	204	183	342	275
YKR015C::chr11_3	608	346	222	175	464	202
YKR016W::chr11_3	456	283	226	228	386	231
YKR017C::chr11_3	416	32	213	92	431	32
YKR018C::chr11_3	372	199	207	143	277	135
YKR019C::chr00_14	290	168	209	144	433	244
YKR020W::chr11_3	295	226	1031	786	212	199
YKR021W::chr11_3	1	328	108	160	0	432
YKR022C::chr11_3	1	1	0	1	0	3
YKR023W::chr00_14	419	262	231	149	613	401
YKR024C::chr11_3	10	180	1190	1452	6	7
YKR025W::chr11_3	0	0	4	0	3	4
YKR026C::chr11_3	425	341	334	293	1198	955
YKR027W::chr00_14	402	311	259	223	718	555
YKR028W::chr00_14	384	224	213	184	555	503
YKR029C::chr00_14	367	210	189	135	433	321
YKR030W::chr11_3	0	436	153	223	0	386
YKR031C::chr11_3	489	7	229	96	315	3
YKR032W::chr11_3	609	119	186	129	339	43
YKR033C::chr11_3	721	492	195	199	354	295
YKR034W::chr00_14	305	58	203	124	540	121
YKR035C::chr11_3	14	129	108	162	13	199
YKR035W-A::chr00_3	243	155	296	305	326	304
YKR036C::chr00_14	463	179	257	108	833	370
YKR037C::chr11_3	1	5	0	1	3	4
YKR038C::chr00_14	1	1	4	0	5	1
YKR039W::chr00_14	0	187	133	178	1	255
YKR040C::chr00_14	535	260	229	86	929	356
YKR041W::chr00_14	218	253	138	225	303	453
YKR042W::chr11_3	360	0	60	87	253	0
YKR043C::chr11_3	2	360	90	198	5	233
YKR044W::chr11_3	0	300	0	208	0	244
YKR045C::chr11_3	614	313	267	174	282	190
YKR046C::chr00_14	375	215	365	303	377	213
YKR047W::chr11_3	479	439	245	228	313	265
YKR048C::chr11_3	1	335	101	230	1	199
YKR049C::chr11_3	376	345	325	341	316	253
YKR050W::chr11_3	395	416	125	239	363	344
YKR051W::chr11_3	1	387	65	173	2	269
YKR052C::chr11_3	658	521	128	161	304	266
YKR053C::chr00_14	605	494	85	234	387	487
YKR054C::chr00_22	386	333	0	1	375	459
YKR054C::chr11_3	0	2	0	169	2	365
YKR055W::chr11_3	351	275	231	199	130	82
YKR056W::chr11_3	515	182	209	121	529	178
YKR057W::chr11_3	6	266	640	1204	0	178
YKR058W::chr11_3	387	331	261	188	314	266
YKR059W::chr11_3	5	191	128	193	4	192
YKR060W::chr11_3	0	269	55	194	0	140
YKR061W::chr11_3	351	296	302	268	192	227
YKR062W::chr11_3	2	0	0	1	0	0
YKR063C::chr11_3	4	2	3	0	1	3
YKR064W::chr11_3	497	160	432	107	479	157
YKR065C::chr11_3	551	355	161	166	841	448
YKR066C::chr00_3	62	251	113	207	23	145
YKR067W::chr00_3	460	423	204	216	220	300
YKR068C::chr00_3	0	0	0	0	0	0
YKR069W::chr00_3	0	0	201	273	233	286
YKR070W::chr00_3	685	506	412	513	655	552
YKR071C::chr00_3	0	1	0	0	1	0
YKR072C::chr00_3	339	216	212	175	546	323
YKR073C::chr00_3	443	0	110	42	397	0
YKR074W::chr00_3	495	299	855	903	262	175
YKR075C::chr00_3	556	321	321	311	356	337
YKR076W::chr00_3	584	299	219	240	361	321
YKR077W::chr00_3	591	456	327	273	378	232
YKR078W::chr00_3	459	398	354	313	337	262
YKR079C::chr00_3	1	8	0	5	1	0
YKR080W::chr00_3	259	376	196	299	172	339
YKR081C::chr00_3	0	0	0	1	1	0
YKR082W::chr00_3	1	255	309	598	1	64
YKR083C::chr00_3	2	0	3	1	1	0
YKR084C::chr00_3	463	241	173	160	215	207
YKR085C::chr00_15	0	1	0	1	338	180
YKR086W::chr00_4	0	2	0	0	0	3
YKR087C::chr00_4	266	190	443	269	363	222
YKR088C::chr00_4	231	201	256	281	386	334
YKR089C::chr00_4	339	173	252	146	490	271
YKR090W::chr00_4	334	281	387	171	484	385
YKR091W::chr00_23	458	399	0	0	310	290
YKR091W::chr00_4	1	0	328	146	644	480
YKR092C::chr00_4	342	216	1758	1372	659	453
YKR093W::chr00_4	388	111	220	139	549	159
YKR094C::chr00_15	313	193	2064	1690	423	326
YKR095W-A::chr00_21	0	0	0	0	0	0
YKR095W::chr00_15	380	213	210	93	476	255
YKR096W::chr00_15	369	246	178	135	386	300
YKR097W::chr00_4	99	74	331	266	432	332
YKR098C::chr00_4	343	238	231	232	442	266
YKR099C-A::chr00_21	0	294	0	0	0	222
YKR099W::chr00_4	119	118	854	1009	270	289
YKR100C::chr00_22	0	0	0	0	0	0
YKR100C::chr00_4	3	0	333	157	531	94
YKR101W::chr00_4	304	224	282	178	572	444
YKR102W::chr00_15	351	258	217	203	489	447
YKR103W::chr00_4	330	235	398	264	473	432
YKR104W::chr00_4	396	252	260	225	530	430
YKR105C::chr00_4	305	274	739	659	356	262
YKR106W::chr00_17b	438	258	351	254	281	306
YLL001W::chr12_1	460	367	129	256	463	405
YLL002W::chr12_1	192	121	568	234	276	205
YLL003W::chr12_1	1	0	2	2	5	1
YLL004W::chr12_1	0	1	3	2	3	0
YLL005C::chr12_1	327	300	94	237	428	429
YLL006W-A::chr00_21	366	289	0	0	243	170
YLL006W::chr12_1	164	127	443	531	287	183
YLL007C::chr00_10	0	164	423	838	1	386
YLL008W::chr12_1	0	0	0	1	0	4
YLL009C::chr12_1	1	0	786	760	0	1
YLL010C::chr12_1	0	179	134	138	0	155
YLL011W::chr12_1	3	2	6	1	2	0
YLL012W::chr12_1	500	432	179	275	439	404
YLL013C::chr12_1	378	297	206	205	379	332
YLL014W::chr12_1	383	345	316	129	330	326
YLL015W::chr12_1	380	367	273	209	339	283
YLL016W::chr12_1	1187	1206	200	258	535	695
YLL017W::chr12_1	414	365	272	240	470	496
YLL018C-A::chr00_4	1	0	145	179	158	237
YLL018C::chr12_1	0	0	0	1	2	0
YLL019C::chr12_1	382	275	168	278	1102	725
YLL020C::chr12_1	271	180	112	204	588	386
YLL021W::chr12_1	325	0	120	117	428	0
YLL023C::chr12_1	875	0	292	4	633	0
YLL024C::chr12_1	427	260	230	183	570	412
YLL025W::chr12_1	407	242	186	109	574	353
YLL026W::chr12_1	601	469	231	192	543	535
YLL027W::chr12_1	343	202	0	0	780	609
YLL028W::chr12_1	607	545	223	228	451	276
YLL029W::chr12_1	0	268	134	71	0	292
YLL030C::chr00_8	438	445	257	330	389	479
YLL031C::chr12_1	5	9	2	6	0	0
YLL032C::chr12_1	486	464	293	224	479	467
YLL033W::chr12_1	2	1	251	363	584	405
YLL034C::chr12_1	2	1	0	8	0	1
YLL035W::chr12_1	5	6	1	2	5	2
YLL036C::chr12_1	1	1	2	0	7	2
YLL037W::chr12_1	1	7	3	2	2	0
YLL038C::chr12_1	945	433	362	253	745	374
YLL039C::chr12_1	425	0	1680	788	1082	0
YLL040C::chr12_1	299	27	268	4	474	49
YLL041C::chr12_1	1	121	101	135	1	318
YLL042C::chr12_1	513	351	292	263	568	549
YLL043W::chr12_1	301	181	246	204	533	397
YLL044W::chr00_8	557	393	975	895	431	382
YLL045C::chr12_1	437	98	1378	370	355	97
YLL046C::chr12_1	864	62	248	21	640	31
YLL047W::chr12_1	11	276	126	100	6	198
YLL048C::chr00_8	520	403	303	297	523	361
YLL049W::chr00_8	299	161	453	208	308	252
YLL050C::chr12_1	7	1	2	4	2	2
YLL051C::chr12_1	0	364	113	185	1	335
YLL052C::chr12_1	629	380	233	200	574	363
YLL053C::chr12_1	686	459	310	287	439	371
YLL054C::chr12_1	637	499	330	315	508	403
YLL055W::chr12_1	617	286	266	156	590	236
YLL056C::chr12_1	370	256	202	200	361	272
YLL057C::chr12_1	11	264	86	245	33	526
YLL058W::chr12_1	674	530	204	214	553	538
YLL059C::chr00_8	641	0	148	138	527	3
YLL060C::chr12_1	394	848	102	723	463	844
YLL061W::chr12_1	809	541	232	249	454	299
YLL062C::chr12_1	439	453	193	209	441	510
YLL063C::chr12_1	323	360	287	232	272	406
YLR001C::chr12_1	407	348	116	238	540	444
YLR002C::chr12_1	0	0	2	1	0	0
YLR003C::chr12_1	489	384	283	278	450	427
YLR004C::chr12_1	293	254	322	296	475	383
YLR005W::chr12_1	1	4	2	0	1	2
YLR006C::chr12_1	667	147	488	151	991	265
YLR007W::chr12_1	4	5	5	4	4	0
YLR008C::chr12_1	14	4	8	0	3	1
YLR009W::chr12_1	3	10	8	15	0	10
YLR010C::chr12_1	0	2	0	2	3	0
YLR011W::chr12_1	414	286	169	212	440	489
YLR012C::chr12_1	392	237	160	135	471	306
YLR013W::chr12_1	1046	577	219	155	539	410
YLR014C::chr12_1	0	361	80	115	0	259
YLR015W::chr12_1	511	339	164	100	341	252
YLR016C::chr12_1	691	516	275	222	489	408
YLR017W::chr12_1	501	314	241	183	632	410
YLR018C::chr12_1	0	249	105	167	0	384
YLR019W::chr12_1	27	456	135	316	36	574
YLR020C::chr12_1	18	375	122	228	21	461
YLR021W::chr12_1	11	360	96	263	10	413
YLR022C::chr12_1	0	6	0	3	0	4
YLR023C::chr12_1	32	355	212	268	25	300
YLR024C::chr12_1	479	418	123	120	619	560
YLR025W::chr12_1	10	12	1365	1246	722	535
YLR026C::chr12_1	0	2	4	0	0	5
YLR027C::chr12_1	1	0	522	567	306	280
YLR028C::chr12_1	0	446	0	212	0	375
YLR029C::chr12_1	1	1	0	0	0	4
YLR030W::chr00_8	581	398	431	365	474	462
YLR031W::chr00_8	533	362	348	245	636	430
YLR032W::chr00_8	390	270	932	910	490	459
YLR033W::chr00_8	0	0	0	0	0	0
YLR034C::chr00_8	447	346	143	235	691	456
YLR035C::chr00_8	498	63	146	96	477	81
YLR036C::chr00_8	353	223	196	184	329	225
YLR037C::chr00_8	528	297	194	222	507	250
YLR038C::chr00_8	403	205	175	129	250	110
YLR039C::chr00_8	4	242	516	925	0	285
YLR040C::chr00_8	0	280	118	179	0	237
YLR041W::chr00_8	156	372	157	227	137	315
YLR042C::chr12_2	559	264	306	241	503	323
YLR043C::chr12_2	450	340	260	213	420	428
YLR044C::chr12_2	273	201	2537	1896	452	307
YLR045C::chr12_2	4	2	1	2	0	2
YLR046C::chr12_2	557	276	192	156	517	262
YLR047C::chr12_2	344	402	98	191	375	472
YLR048W::chr12_2	359	162	185	101	340	138
YLR049C::chr12_2	449	229	182	164	653	355
YLR050C::chr00_8	527	424	227	300	274	245
YLR051C::chr12_2	0	1	0	2	1	0
YLR052W::chr00_8	0	1	508	1081	0	1
YLR053C::chr12_2	0	327	142	105	0	330
YLR054C::chr00_22	0	0	0	0	0	0
YLR054C::chr12_2	0	0	116	121	0	98
YLR055C::chr12_2	481	255	248	170	494	328
YLR056W::chr12_2	81	112	767	1130	71	140
